Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,6614.72998046875,6682.81005859375,6614.72998046875,6681.1298828125,6681.1298828125,70947800
2007-01-03,6681.22998046875,6704.0400390625,6667.580078125,6691.31982421875,6691.31982421875,105913800
2007-01-04,6662.240234375,6684.10986328125,6634.740234375,6674.39990234375,6674.39990234375,143461600
2007-01-05,6661.89990234375,6665.509765625,6588.02978515625,6593.08984375,6593.08984375,142562500
2007-01-08,6603.5498046875,6628.35986328125,6579.89990234375,6607.58984375,6607.58984375,116670200
2007-01-09,6625.27978515625,6665.91015625,6606.8701171875,6614.3701171875,6614.3701171875,136073800
2007-01-10,6578.759765625,6592.97021484375,6531.25,6566.56005859375,6566.56005859375,148877600
2007-01-11,6590.740234375,6695.740234375,6571.58984375,6687.2998046875,6687.2998046875,156016900
2007-01-12,6690.43017578125,6705.169921875,6659.9501953125,6705.169921875,6705.169921875,148199100
2007-01-15,6719.52978515625,6746.2998046875,6719.52978515625,6731.740234375,6731.740234375,87570000
2007-01-16,6735.830078125,6746.6298828125,6705.2099609375,6716.81982421875,6716.81982421875,97704600
2007-01-17,6716.669921875,6732.31005859375,6672.759765625,6701.7001953125,6701.7001953125,125633400
2007-01-18,6721.08984375,6737.97998046875,6661.0498046875,6689.6201171875,6689.6201171875,146033600
2007-01-19,6678.81005859375,6754.5498046875,6651.68017578125,6747.169921875,6747.169921875,172199100
2007-01-22,6753.72998046875,6766.56982421875,6682.490234375,6687.31005859375,6687.31005859375,125663200
2007-01-23,6692.830078125,6704.35986328125,6627.9599609375,6678.93017578125,6678.93017578125,128913100
2007-01-24,6692.64990234375,6759.9501953125,6681.66015625,6748.3701171875,6748.3701171875,168589400
2007-01-25,6743.43017578125,6771.419921875,6703.89990234375,6719.580078125,6719.580078125,169103400
2007-01-26,6690.2900390625,6731.35986328125,6659.4501953125,6690.33984375,6690.33984375,133454500
2007-01-29,6702.4501953125,6739.5,6683.3798828125,6726.009765625,6726.009765625,194267100
2007-01-30,6719.97021484375,6801.27001953125,6711.0498046875,6788.22998046875,6788.22998046875,137154600
2007-01-31,6772.830078125,6805.08984375,6758.85009765625,6789.10986328125,6789.10986328125,160158900
2007-02-01,6821.31005859375,6874.77001953125,6820.580078125,6851.27978515625,6851.27978515625,160415100
2007-02-02,6853.77001953125,6904.8798828125,6848.169921875,6885.759765625,6885.759765625,138261300
2007-02-05,6878.669921875,6891.1298828125,6864.18994140625,6874.06005859375,6874.06005859375,102908200
2007-02-06,6881.89990234375,6906.68017578125,6862.18994140625,6875.7001953125,6875.7001953125,122316500
2007-02-07,6886.009765625,6924.4599609375,6885.080078125,6915.56005859375,6915.56005859375,170726200
2007-02-08,6911.240234375,6918.0400390625,6849.85009765625,6876.72998046875,6876.72998046875,135724800
2007-02-09,6890.64990234375,6928.97998046875,6890.64013671875,6911.10986328125,6911.10986328125,122616100
2007-02-12,6892.02978515625,6892.02978515625,6844.39013671875,6859.4501953125,6859.4501953125,106796800
2007-02-13,6868.68017578125,6895.52001953125,6866.06982421875,6895.33984375,6895.33984375,113530600
2007-02-14,6912.56005859375,6965.39013671875,6907.91015625,6961.18017578125,6961.18017578125,155336100
2007-02-15,6958.14013671875,6972.43994140625,6942.25,6958.6201171875,6958.6201171875,133808500
2007-02-16,6955.7099609375,6979.02001953125,6941.02978515625,6957.06982421875,6957.06982421875,123210100
2007-02-19,6967.52978515625,6996.009765625,6965.91015625,6987.080078125,6987.080078125,93275600
2007-02-20,6978.52001953125,6987.669921875,6936.080078125,6982.91015625,6982.91015625,121693100
2007-02-21,6999.18017578125,7005.33984375,6922.35986328125,6941.66015625,6941.66015625,125000000
2007-02-22,6959.3701171875,7012.33984375,6955.56982421875,6973.72998046875,6973.72998046875,158196800
2007-02-23,6986.06982421875,6998.27001953125,6964.5,6992.580078125,6992.580078125,154215600
2007-02-26,6992.1201171875,7040.2001953125,6980.25,7027.58984375,7027.58984375,145189500
