Date,Open,High,Low,Close,Adj Close,Volume
2007-05-02,20384.029296875,20483.240234375,20351.259765625,20388.490234375,20388.490234375,1118175200
2007-05-03,20582.41015625,20739.029296875,20555.5703125,20681.580078125,20681.580078125,1119150600
2007-05-04,20865.060546875,20883.2109375,20714.8203125,20841.080078125,20841.080078125,1261919000
2007-05-07,20933.990234375,21070.2109375,20891.060546875,20896.640625,20896.640625,1355037900
2007-05-08,20850.0703125,20880.69921875,20662.599609375,20706.349609375,20706.349609375,1137024700
2007-05-09,20704.369140625,20844.779296875,20677.810546875,20844.779296875,20844.779296875,912644700
2007-05-10,20729.51953125,20821.859375,20683.30078125,20746.26953125,20746.26953125,1187355000
2007-05-11,20469.490234375,20552.560546875,20420.119140625,20468.2109375,20468.2109375,1440580100
2007-05-14,21036.619140625,21065.58984375,20870.009765625,20979.240234375,20979.240234375,2746175200
2007-05-15,20985.9296875,21088.859375,20826.9296875,20868.150390625,20868.150390625,1830068800
2007-05-16,20854.08984375,20953.240234375,20784.25,20937.259765625,20937.259765625,1082991000
2007-05-17,21042.669921875,21084.23046875,20944.150390625,20994.609375,20994.609375,1084692600
2007-05-18,20882.869140625,20904.83984375,20769.099609375,20904.83984375,20904.83984375,1294134700
2007-05-21,20963.51953125,21055.109375,20922.349609375,20927.75,20927.75,1483071700
2007-05-22,20996.990234375,21020.419921875,20782.380859375,20843.919921875,20843.919921875,1351403300
2007-05-23,20838.359375,20888.140625,20767.6796875,20798.970703125,20798.970703125,920817100
2007-05-25,20553.779296875,20566.259765625,20474.029296875,20520.66015625,20520.66015625,1601243700
2007-05-28,20594.140625,20619.16015625,20503.869140625,20529.759765625,20529.759765625,998483000
2007-05-29,20518.349609375,20565.25,20395.099609375,20469.58984375,20469.58984375,0
2007-05-30,20342.9609375,20403.359375,20184.48046875,20293.759765625,20293.759765625,1831418800
2007-05-31,20405.94921875,20673.400390625,20354.66015625,20634.470703125,20634.470703125,1885289000
2007-06-01,20717.26953125,20793.380859375,20598.849609375,20602.869140625,20602.869140625,1668128500
2007-06-04,20698.990234375,20821.91015625,20638.69921875,20729.58984375,20729.58984375,1385369100
2007-06-05,20820.48046875,20878.08984375,20615.9609375,20842.150390625,20842.150390625,1628208800
2007-06-06,20850.259765625,20943.939453125,20803.220703125,20818.609375,20818.609375,1225409700
2007-06-07,20637.900390625,20838.439453125,20600.369140625,20800.16015625,20800.16015625,1456509300
2007-06-08,20531.849609375,20536.169921875,20433.51953125,20509.150390625,20509.150390625,1947561200
2007-06-11,20649.05078125,20673.900390625,20591.419921875,20615.490234375,20615.490234375,1034142700
2007-06-12,20654.470703125,20664.849609375,20511.029296875,20636.390625,20636.390625,989052500
2007-06-13,20527.26953125,20628.060546875,20520.669921875,20578.75,20578.75,1040542700
2007-06-14,20714.859375,20924.810546875,20714.859375,20867.259765625,20867.259765625,2314377200
2007-06-15,21024.3203125,21052.94921875,20917.640625,21017.05078125,21017.05078125,2893956800
2007-06-18,21256.2890625,21585.029296875,21256.2890625,21582.890625,21582.890625,3890428000
2007-06-20,21645.060546875,21897.580078125,21644.119140625,21684.669921875,21684.669921875,3363787200
2007-06-21,21784.119140625,21969.259765625,21714.94921875,21954.669921875,21954.669921875,2357828000
2007-06-22,21879.5,22052.849609375,21788.150390625,21999.91015625,21999.91015625,2095707600
2007-06-25,21884.099609375,22085.58984375,21814.4609375,21822.349609375,21822.349609375,1598811300
2007-06-26,21800.76953125,21950.01953125,21755.2890625,21803.5703125,21803.5703125,1552691700
2007-06-27,21775.1796875,21800.490234375,21562.0,21705.560546875,21705.560546875,2007429600
2007-06-28,21912.7890625,22035.419921875,21885.529296875,21938.220703125,21938.220703125,2522367000
2007-06-29,21997.25,22044.6796875,21768.759765625,21772.73046875,21772.73046875,1621418900
2007-07-03,22004.140625,22159.51953125,21960.759765625,22151.140625,22151.140625,1882466600
2007-07-04,22279.830078125,22307.599609375,22131.240234375,22218.55078125,22218.55078125,1890965200
2007-07-05,22272.810546875,22328.609375,22126.970703125,22252.990234375,22252.990234375,2014864600
2007-07-06,22217.4609375,22565.4296875,22081.349609375,22531.740234375,22531.740234375,2258576800
2007-07-09,22719.990234375,22818.3203125,22601.650390625,22817.4296875,22817.4296875,2780795000
2007-07-10,22833.470703125,22889.609375,22718.130859375,22885.83984375,22885.83984375,3951114400
2007-07-11,22655.380859375,22850.400390625,22539.69921875,22607.01953125,22607.01953125,3298317200
2007-07-12,22797.75,22975.810546875,22773.7109375,22809.01953125,22809.01953125,2265775600
2007-07-13,23199.060546875,23239.919921875,23048.689453125,23099.2890625,23099.2890625,1952540400
2007-07-16,23098.66015625,23128.560546875,22932.30078125,22953.939453125,22953.939453125,1338833600
2007-07-17,22915.7890625,23148.259765625,22915.7890625,23057.30078125,23057.30078125,1557914200
2007-07-18,22956.970703125,23035.80078125,22782.630859375,22841.919921875,22841.919921875,2212038000
2007-07-19,22864.75,23024.5,22817.919921875,23016.19921875,23016.19921875,1915786800
2007-07-20,23195.41015625,23301.9296875,23118.669921875,23291.900390625,23291.900390625,1810894600
2007-07-23,23170.349609375,23389.939453125,23152.5390625,23365.560546875,23365.560546875,1564566200
